frequency (cm^-1),IR intensity,eda_syn.out,eda_anti.out,molecule 1
1318.282597,5.022542,2.468294,2.554248,5.022542
1318.591369,5.122375,2.513212,2.609163,5.122375
1318.769804,5.182124,2.539872,2.642252,5.182124
1319.368416,5.394508,2.633266,2.761242,5.394508
1319.810627,5.564426,2.706420,2.858006,5.564426
1319.890065,5.596236,2.719957,2.876279,5.596236
1320.207525,5.727573,2.775312,2.952261,5.727573
1320.309624,5.771312,2.793553,2.977759,5.771312
1320.618396,5.908350,2.850066,3.058284,5.908350
1320.796831,5.990999,2.883677,3.107323,5.990999
1321.395443,6.288958,3.001831,3.287128,6.288958
1321.837654,6.532442,3.094821,3.437621,6.532442
1321.917092,6.578562,3.112071,3.466491,6.578562
1321.997160,6.625834,3.129633,3.496201,6.625834
1322.234552,6.770853,3.182752,3.588102,6.770853
1322.336651,6.835575,3.206092,3.629483,6.835575
1322.645423,7.040613,3.278559,3.762053,7.040613
1322.823858,7.165954,3.321771,3.844182,7.165954
1323.422470,7.628428,3.474358,4.154070,7.628428
1323.864681,8.018508,3.595214,4.423294,8.018508
1323.944119,8.093588,3.617710,4.475877,8.093588
1324.024187,8.170925,3.640638,4.530287,8.170925
1324.261579,8.410528,3.710143,4.700385,8.410528
1324.363678,8.518571,3.740759,4.777812,8.518571
1324.672450,8.865122,3.836123,5.028999,8.865122
1324.848477,9.076993,3.892433,5.184560,9.076993
1324.850885,9.079968,3.893214,5.186754,9.079968
1325.449497,9.889641,4.096252,5.793389,9.889641
1325.891708,10.589181,4.258801,6.330381,10.589181
1325.971146,10.725178,4.289241,6.435937,10.725178
1326.051214,10.865650,4.320326,6.545324,10.865650
1326.288606,11.303040,4.414954,6.888086,11.303040
1326.390705,11.501199,4.456832,7.044367,11.501199
1326.699477,12.139728,4.588072,7.551656,12.139728
1326.877912,12.537216,4.667250,7.869967,12.537216
1327.476524,14.039392,4.952878,9.086514,14.039392
1327.918735,15.334521,5.186545,10.147975,15.334521
1327.998173,15.585413,5.230839,10.354574,15.585413
1328.078241,15.844171,5.276251,10.567919,15.844171
1328.315633,16.647003,5.415650,11.231353,16.647003
1328.417732,17.009154,5.477909,11.531245,17.009154
1328.726504,18.168714,5.675361,12.493353,18.168714
1328.904939,18.884447,5.796246,13.088201,18.884447
1329.503551,21.544157,6.243761,15.300396,21.544157
1329.945762,23.778863,6.623432,17.155431,23.778863
1330.025200,24.205593,6.696776,17.508817,24.205593
1330.105268,24.643639,6.772422,17.871216,24.643639
1330.342660,25.989606,7.007435,18.982171,25.989606
1330.444759,26.590382,7.113741,19.476641,26.590382
1330.753531,28.488150,7.456187,21.031963,28.488150
1330.931966,29.640513,7.669655,21.970858,29.640513
1331.530578,33.803512,8.482560,25.320953,33.803512
1331.972789,37.166440,9.195914,27.970526,37.166440
1332.132295,38.436947,9.480674,28.956274,38.436947
1332.471786,41.237032,10.141289,31.095743,41.237032
1332.780558,43.889471,10.813259,33.076212,43.889471
1332.958994,45.463987,11.235627,34.228360,45.463987
1333.557605,50.930646,12.858561,38.072085,50.930646
1333.999816,55.096795,14.289401,40.807393,55.096795
1334.159322,56.612691,14.859876,41.752816,56.612691
1334.498813,59.840512,16.178555,43.661957,59.840512
1334.807585,62.753826,17.510031,45.243795,62.753826
1334.986021,64.416566,18.340651,46.075915,64.416566
1335.584632,69.807003,21.480088,48.326915,69.807003
1336.026843,73.529571,24.174407,49.355164,73.529571
1336.186349,74.806709,25.229156,49.577553,74.806709
1336.525840,77.401211,27.625561,49.775650,77.401211
1336.834612,79.614485,29.987959,49.626525,79.614485
1337.013048,80.832591,31.433688,49.398903,80.832591
1337.611659,84.637851,36.715746,47.922106,84.637851
1338.053870,87.242482,41.036689,46.205793,87.242482
1338.213376,88.155874,42.678827,45.477047,88.155874
1338.552867,90.077396,46.312599,43.764798,90.077396
1338.861639,91.819580,49.769059,42.050520,91.819580
1339.040075,92.831783,51.825487,41.006296,92.831783
1339.638686,96.289309,58.977273,37.312036,96.289309
1340.080897,98.909039,64.420974,34.488065,98.909039
1340.240403,99.861949,66.395416,33.466533,99.861949
1340.579894,101.885462,70.578823,31.306640,101.885462
1340.888666,103.692288,74.316436,29.375852,103.692288
1341.067102,104.706214,76.425055,28.281159,104.706214
1341.665713,107.807004,83.049236,24.757767,107.807004
1342.107924,109.617856,87.284695,22.333161,109.617856
1342.267430,110.130348,88.629853,21.500495,110.130348
1342.606921,110.915819,91.109242,19.806577,110.915819
1342.915694,111.215677,92.854322,18.361355,111.215677
1343.094129,111.187810,93.619394,17.568416,111.187810
1343.692740,109.912841,94.777435,15.135406,109.912841
1344.134951,107.751796,94.192162,13.559634,107.751796
1344.294457,106.721387,93.685288,13.036099,106.721387
1344.633948,104.110435,92.112236,11.998199,104.110435
1344.942721,101.281660,90.140574,11.141087,101.281660
1345.121156,99.471237,88.789396,10.681841,99.471237
1345.719767,92.633378,83.312107,9.321272,92.633378
1346.161978,87.031412,78.552183,8.479229,87.031412
1346.321484,84.937342,76.731022,8.206320,84.937342
1346.660975,80.403651,72.728201,7.675451,80.403651
1346.969748,76.237989,68.990682,7.247308,76.237989
1347.148183,73.831864,66.810114,7.021751,73.831864
1347.746794,65.881751,59.512332,6.369419,65.881751
1348.189005,60.234086,54.256290,5.977797,60.234086
1348.348511,58.261363,52.408460,5.852902,58.261363
1348.688002,54.194735,48.581838,5.612897,54.194735
1348.996775,50.666770,45.244476,5.422293,50.666770
1349.175210,48.707354,43.384339,5.323015,48.707354
1349.773821,42.583437,37.542456,5.040981,42.583437
1350.216032,38.519978,33.643666,4.876312,38.519978
1350.375538,37.151561,32.326741,4.824819,37.151561
1350.715029,34.409841,29.682057,4.727785,34.409841
1351.023802,32.115285,27.462112,4.653173,32.115285
1351.202237,30.873983,26.258467,4.615516,30.873983
1351.800848,27.145605,22.629846,4.515759,27.145605
1352.243059,24.799194,20.333088,4.466107,24.799194
1352.402565,24.032459,19.579596,4.452863,24.032459
1352.742056,22.532921,18.100323,4.432598,22.532921
1353.050829,21.316930,16.893594,4.423335,21.316930
1353.229264,20.674611,16.252688,4.421923,20.674611
1353.827875,18.816171,14.377760,4.438412,18.816171
1354.270086,17.707970,13.235693,4.472277,17.707970
1354.429592,17.357864,12.868610,4.489254,17.357864
1354.769083,16.693182,12.158893,4.534289,16.693182
1355.077856,16.177126,11.590711,4.586415,16.177126
1355.256291,15.914622,11.292892,4.621731,15.914622
1355.658907,15.411453,10.694860,4.716593,15.411453
1355.854902,15.208505,10.437505,4.771000,15.208505
1356.297114,14.844219,9.928347,4.915872,14.844219
1356.456619,14.743062,9.766712,4.976350,14.743062
1356.796110,14.578478,9.457238,5.121240,14.578478
1357.104883,14.486752,9.212711,5.274041,14.486752
1357.283318,14.458298,9.085889,5.372409,14.458298
1357.881929,14.492295,8.728544,5.763751,14.492295
1358.324141,14.646139,8.523194,6.122945,14.646139
1358.483646,14.729084,8.459830,6.269254,14.729084
1358.823137,14.955606,8.342145,6.613462,14.955606
1359.131910,15.222741,8.253940,6.968801,15.222741
1359.310345,15.404722,8.210584,7.194138,15.404722
1359.908956,16.171816,8.102716,8.069100,16.171816
1360.351168,16.904524,8.057521,8.847003,16.904524
1360.510674,17.205874,8.047993,9.157881,17.205874
1360.850164,17.916184,8.039277,9.876907,17.916184
1361.158937,18.647202,8.044755,10.602447,18.647202
1361.337372,19.108094,8.053673,11.054421,19.108094
1361.935983,20.870052,8.114347,12.755705,20.870052
1362.378195,22.394840,8.190105,14.204736,22.394840
1362.537701,22.992984,8.224088,14.768896,22.992984
1362.877191,24.352551,8.308621,16.043929,24.352551
1363.185964,25.692058,8.400541,17.291517,25.692058
1363.364399,26.510898,8.460522,18.050377,26.510898
1363.963010,29.494226,8.701457,20.792770,29.494226
1364.405222,31.923576,8.922995,23.000581,31.923576
1364.564728,32.844151,9.013055,23.831096,32.844151
1364.904218,34.876199,9.224481,25.651718,34.876199
1365.212991,36.803086,9.442282,27.360804,36.803086
1365.391426,37.946962,9.580320,28.366642,37.946962
1365.990037,41.912879,10.117688,31.795192,41.912879
1366.432249,44.922753,10.600257,34.322496,44.922753
1366.591755,46.013669,10.795048,35.218621,46.013669
1366.931245,48.326169,11.250871,37.075298,48.326169
1367.240018,50.397314,11.719465,38.677848,50.397314
1367.418453,51.570335,12.016288,39.554047,51.570335
1368.017064,55.305470,13.171627,42.133844,55.305470
1368.459276,57.789525,14.208232,43.581294,57.789525
1368.618782,58.614306,14.625989,43.988317,58.614306
1368.958272,60.230529,15.601096,44.629433,60.230529
1369.267045,61.529042,16.598722,44.930321,61.529042
1369.445480,62.204707,17.227575,44.977132,62.204707
1370.044091,64.101094,19.648243,44.452851,64.101094
1370.486303,65.204645,21.779282,43.425363,65.204645
1370.645809,65.560669,22.626623,42.934046,65.560669
1370.985299,66.278513,24.578612,41.699901,66.278513
1371.294072,66.921933,26.538743,40.383190,66.921933
1371.472507,67.306731,27.755587,39.551144,67.306731
1372.071118,68.783672,32.311422,36.472250,68.783672
1372.513330,70.176527,36.165911,34.010616,70.176527
1372.672836,70.762907,37.661032,33.101874,70.762907
1373.012326,72.182487,41.029653,31.152834,72.182487
1373.321099,73.694627,44.312750,29.381876,73.694627
1373.499534,74.670649,46.303834,28.366815,74.670649
1374.098145,78.514696,53.464456,25.050240,78.514696
1374.540357,81.918338,59.191437,22.726901,81.918338
1374.699863,83.258809,61.337198,21.921612,83.258809
1375.039354,86.296377,66.024489,20.271888,86.296377
